序号,通道名称,级别,通道内在运高压电缆线路(降序填写，例如220甲线、乙线，110丙线、丁线）,起始点,终点,受影响变电站,通道长度(米)
1,世博隧道,一级,"500kV三静5191\三安5192,220kV建南4274\安南2A37\建云4271\建云4272\新安2A50\建济4273\安广2A40\安济2A33\安宛2A38\林建4149\林建4150\安复2A34",三林站,静安站,静安站、南市站、连云站、济南站、广场站、宛平站、浦建站、复兴站,15267
2,虹杨隧道,一级,"500kV五杨5193\五行5194,220kV五蕴2B51\五蕴2B62,110kV蕴皋1C088\蕴皋1C093",杨行站,五角场站,杨行站、五角场站、蕴藻浜站、恒皋站,14360
3,新江湾隧道,一级,220kV闸湾4241\蕴湾4242\浏湾4245\闸蕴2258,闸北电厂,殷行路新江湾路,新江湾站、蕴藻浜站,2636
4,半淞园隧道,一级,220kV建南4274\安南2A37，110kV花蒙1269\花蒙1270,世博#6竖井,南市站,南市站、花园港站、蒙自站,800
5,龙阳路隧道,一级,220kV杨建2145\杨建2146\林建4149\林建4150\建云4271\建云4272\建济4273\建南4274,浦建站,世博隧道#10竖井,浦建站、连云站、济南站、南市站,2300
6,杨高中路隧道,一级,220kV罗源4141\罗源4142\罗源4143\罗源4144\罗锦2153\罗墨2151\罗墨4140,源深站,罗山站,源深站、锦绣站、即墨站,3180
7,杨厂隧道,一级,220kV银庭2183\银庭2184\银森2185\罗篮2152,杨树浦电厂,浦东#3井,银山站、森林站、提篮桥站,1071
8,辰塔站至松江南牵引站电缆通道段,一级,220辰牵4129、华牵4130,万荣站,民和站,万荣站、民和站,5848
9,新通、星华站至虹桥牵引站电缆通道,二级,220通牵4280、星牵4281,辰塔站,松江南牵引站,松江南牵引站,4255.3
10,万荣站至民和站电缆通道,二级,220荣民2189、荣民2190、荣民2247,新通站、星华站,虹桥牵引站,新通站、星华站、虹桥牵引站,10971
11,长兴站至中船降压站电缆通道,二级,110长船1121（长兴）、长船1121（中船）、长船1123（长兴）、长船1123（中船）,长兴站,中船降压站,长兴站、中船降压站,1991
12,紫薇站至宏力站电缆通道,二级,220紫宏2179、紫宏2180,紫薇站,宏力站,紫薇站、宏力站,641.5
13,即墨站至上海中心站电缆通道,二级,110墨心1G164 ,即墨站,上海中心站,即墨站、上海中心站,2130
14,连云站至上海中心站电缆通道,二级,110云心1633,连云站,上海中心站,连云站、上海中心站,6437.8
15,妙境站至迪士尼站电缆通道,二级,110妙尼1G012、妙尼1G015、镇磁1527、镇磁1529,妙境站,迪士尼站,迪士尼站、磁悬浮站,9057
16,申江站至迪士尼站电缆通道,二级,110申尼1G104、申尼1G108,申江站,迪士尼站,申江站、迪士尼站,3556.4
17,诸光站至博览中心站电缆通道,二级,110光博1R019、光博1R018、虹光1E151、虹光1E157、泾光1R027,诸光站站,博览中心站,诸光站站、博览中心站,1210
18,慈竹站至工行数据中心站（用户）电缆通道,二级,110慈工1P036、定皇1188、双皇1P004,慈竹站,工行数据中心站（用户）,慈竹站、工行数据中心站（用户）,5500
19,嘉定站外终端至工行数据中心站电缆通道,二级,110定工1145(工行数据中心)、戴裕1P034,嘉定站外终端,工行数据中心站,嘉定站外终端、工行数据中心站,8918
20,洲海站至青草沙站电缆通道,二级,110洲草1545、洲草1548,洲海站,青草沙站,洲海站、青草沙站,5820
21,鼎松站至台积电站电缆通道,二级,110鼎台1K071、鼎台1K075,鼎松站,台积电站,鼎松站、台积电站,699
